
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
1,2014,32,23.2,354.0,64.1,5.5,1.4,0.6,2.2,20.5,22.2,35.1,241.9,1.7,0.8,6.5,12.5,26.9,112.1,0.7,4.2,5.9,,,,,,,,
2,2013,32,23.4,348.5,65.0,5.4,1.6,0.6,1.8,19.9,21.7,35.4,235.6,1.6,1.0,6.2,12.1,27.1,112.9,0.8,4.2,6.0,,,,,,,,
3,2012,32,22.8,347.2,64.2,5.4,1.6,0.6,1.8,19.8,21.2,34.7,231.3,1.5,0.9,6.2,12.0,27.2,115.9,0.8,4.3,6.1,,,,,,,,
4,2011,32,22.2,346.8,63.6,5.5,1.6,0.6,1.7,19.5,20.4,34.0,229.7,1.5,1.0,6.3,11.7,27.3,117.1,0.8,4.3,6.0,,,,,,,,
5,2010,32,22.0,336.0,63.1,5.3,1.7,0.7,1.5,18.9,20.5,33.7,221.6,1.5,1.0,6.2,11.5,27.2,114.5,0.8,4.2,6.0,,,,,,,,
6,2009,32,21.5,335.1,62.9,5.3,1.7,0.7,1.5,18.7,20.3,33.3,218.5,1.4,1.0,6.2,11.2,27.5,116.7,0.8,4.2,6.0,,,,,,,,
7,2008,32,22.0,327.2,61.9,5.3,1.5,0.6,1.3,18.4,19.7,32.3,211.3,1.3,0.9,6.2,10.8,27.6,116.0,0.9,4.2,6.3,,,,,,,,
8,2007,32,21.7,325.2,62.8,5.2,1.8,0.8,1.3,18.6,20.4,33.3,214.3,1.4,1.0,6.0,11.4,27.3,110.9,0.8,4.1,6.0,,,,,,,,
9,2006,32,20.7,322.1,62.5,5.2,1.8,0.7,1.5,18.4,19.1,32.0,204.8,1.3,1.0,6.0,10.7,28.2,117.3,0.8,4.2,6.2,,,,,,,,
10,2005,32,20.6,315.9,62.5,5.1,1.8,0.8,1.8,18.4,19.1,32.2,203.5,1.3,1.0,5.9,10.6,28.1,112.5,0.8,4.0,6.0,,,,,,,,
11,2004,32,21.5,327.2,62.5,5.2,1.8,0.7,1.7,18.8,19.1,31.9,210.5,1.4,1.0,6.1,10.8,28.2,116.6,0.8,4.1,6.2,,,,,,,,
12,2003,32,20.8,318.3,62.7,5.1,1.8,0.7,1.6,18.3,18.9,32.2,200.4,1.3,1.1,5.8,10.4,28.3,117.9,0.8,4.2,6.4,,,,,,,,
13,2002,32,21.7,328.4,63.6,5.2,1.8,0.8,1.6,19.0,20.1,33.8,212.2,1.4,1.0,5.9,11.0,27.5,116.1,0.9,4.2,6.4,,,,,,,,
14,2001,31,20.2,317.6,62.6,5.1,1.9,0.8,1.4,18.0,19.2,32.6,205.8,1.3,1.1,5.9,10.6,27.6,111.8,0.7,4.1,6.0,,,,,,,,
15,2000,31,20.7,319.4,63.0,5.1,1.9,0.8,1.6,18.4,19.1,32.9,206.9,1.3,1.1,5.8,10.7,27.6,112.6,0.8,4.1,6.1,,,,,,,,
16,1999,31,20.8,318.8,63.6,5.0,1.9,0.8,1.5,18.1,19.3,33.8,212.3,1.3,1.1,5.8,10.8,27.3,106.5,0.7,3.9,5.8,,,,,,,,
17,1998,30,21.3,317.7,63.1,5.0,1.8,0.7,1.7,18.2,18.3,32.3,205.0,1.4,1.1,5.9,10.5,28.3,112.7,0.8,4.0,6.0,,,,,,,,
18,1997,30,20.7,314.9,63.8,4.9,1.8,0.8,1.5,18.3,18.4,32.8,201.8,1.3,1.0,5.7,10.6,28.4,113.0,0.8,4.0,6.2,,,,,,,,
19,1996,30,20.4,316.4,63.9,5.0,1.9,0.8,1.5,18.7,19.2,33.3,207.4,1.3,1.1,5.8,10.9,28.3,109.0,0.8,3.8,6.2,,,,,,,,
20,1995,30,21.5,328.9,64.5,5.1,1.9,0.8,1.5,19.3,20.2,34.8,220.8,1.4,1.1,6.0,11.6,27.5,108.1,0.8,3.9,6.3,,,,,,,,
21,1994,28,20.3,317.9,63.7,5.0,1.9,0.8,1.5,18.6,19.5,33.6,213.6,1.3,1.1,6.0,11.0,28.0,104.3,0.8,3.7,6.1,,,,,,,,
22,1993,28,18.7,310.6,62.8,4.9,1.9,0.9,1.3,18.1,18.6,32.2,200.6,1.2,1.0,5.8,10.5,28.3,110.0,0.7,3.9,6.4,,,,,,,,
23,1992,28,18.7,298.2,59.9,5.0,2.0,0.9,1.3,17.3,17.2,29.9,187.6,1.2,1.2,5.8,9.8,27.4,110.5,0.7,4.0,6.2,,,,,,,,
24,1991,28,19.0,306.8,60.8,5.0,2.0,0.9,1.2,17.8,17.9,31.1,199.1,1.1,1.1,6.0,10.4,27.4,107.7,0.8,3.9,6.2,,,,,,,,
25,1990,28,20.1,308.6,60.3,5.1,2.0,0.9,1.3,17.8,16.9,30.2,194.8,1.3,1.1,6.0,10.0,27.8,113.9,0.8,4.1,6.5,,,,,,,,
26,1989,28,20.6,326.2,63.6,5.1,2.2,0.9,1.4,18.8,17.9,32.0,210.9,1.3,1.2,6.1,10.7,29.2,115.3,0.9,4.0,6.7,,,,,,,,
27,1988,28,20.3,322.1,64.2,5.0,2.2,0.9,1.5,18.9,17.1,31.5,200.7,1.2,1.2,5.9,10.3,30.3,121.4,0.9,4.0,7.1,,,,,,,,
28,1987,28,21.6,327.8,66.2,5.0,2.4,1.1,1.7,19.4,17.6,32.1,203.9,1.5,1.3,5.9,10.6,31.4,123.9,0.9,3.9,7.1,,,,,,,,
29,1986,28,20.5,324.2,65.1,5.0,2.3,1.0,1.6,19.0,17.9,32.3,205.5,1.3,1.3,5.9,10.6,30.2,118.7,0.9,3.9,6.8,,,,,,,,
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
30,1985,28,21.5,329.4,65.5,5.0,2.4,1.0,1.5,19.2,17.7,32.2,204.5,1.3,1.3,5.8,10.6,30.4,124.9,1.0,4.1,7.1,,,,,,,,
